 Stranger	 अजनबी
The darkest	अंधेरी
Dark room	अंधेरी कोठरी
Dark night	अंधेरी रात
Blind	अंधोटी
Darkness	अंधोरी
Dark	अंधौरी
Blind	अंध्र
Blind worship	अंध्र भृत्य
Blasphemy	अंध्र-भृत्य
Blasphemy	अंध्रभृत्य
Dark dynasty	अंध्रवंश
Umpire	अंपायर
Umpiring	अंपायरिंग
Amphetamine	अंफेटामाइन
Amphetamine	अंफेटामाईन
Amb	अंब
Ambak	अंबक
Sky	अंबर
Amberbell	अंबरबेल
Ambrai	अंबराई
Ambrao	अंबराव
Ambareesh	अंबरीष
Ambrisak	अंबरीसक
Ambrouka	अंबरौका
Ambal	अंबल
Amba	अंबा
Amba River	अंबा नदी
Amba Haldi	अंबा हलदी
Amba Turmeric	अंबा हल्दी
Ambada	अंबाड़ा
Ambari	अंबाड़ी
Ambapoli	अंबापोली
Ambabai	अंबाबाई
Amber	अंबार
Ambari	अंबारी
Ambala	अंबाला
Ambala district	अंबाला ज़िला
Ambala District	अंबाला जिला
Ambala city	अंबाला शहर
Counter	अंबालिका
Ambasa	अंबासा
Ambasa city	अंबासा शहर
Ambahladi	अंबाहलदी
Ambahldi	अंबाहल्दी
Ambika	अंबिका
Ambikapur	अंबिकापुर
Ambikapur City	अंबिकापुर शहर
Ambikeya	अंबिकेय
Ambia	अंबिया
Ambi	अंबी
Ambu	अंबु
Ambu smuggler	अंबु तस्कर
Ambuntor	अंबुकंटक
Ambucirate	अंबुकिरात
Ambukeshi	अंबुकेशी
Ambuchamar	अंबुचामर
Ambuj	अंबुज
Ambuja	अंबुजा
Ambujasana	अंबुजासना
Ambutskar	अंबुतस्कर
Egg	अंबुद
Ambudhar	अंबुधर
Ambudhi	अंबुधि
Amburaj	अंबुराज
Ambedkar	अंबेडकर
Ambedkar Nagar	अंबेडकर नगर
Ambedkar Nagar District	अंबेडकर नगर ज़िला
Ambedkar Nagar District	अंबेडकर नगर जिला
Ambedkaranagar	अंबेडकरनगर
Ambedkarnagar district	अंबेडकरनगर ज़िला
Ambedkar Nagar District	अंबेडकरनगर जिला
Amboh	अंबोह
Ambh	अंभ
Anubhoj	अंभोज
Ambodhar	अंभोधर
Part	अंश
Subscription	अंश ग्रहण
Fraction number	अंश संख्या
Share allocation	अंश-आवंटन
Subscription	अंश-ग्रहण
Division	अंश-विभाजन
Denominator	अंशक
Sharing	अंशग्रहण
Contribution	अंशदान
Contributor	अंशधर
Shareholder	अंशधारी
The quotient	अंशफलक
Anshi	अंशी
Anshu	अंशु
Fraction	अंशुक
Anshumant	अंशुमंत
Anshuman	अंशुमन
Anshumanta	अंशुमन्त
Anshuman	अंशुमान
Anshumali	अंशुमाली
Anshul	अंशुल
Ans	अंस
Binder	अंसफलक
Un	अऊत
Ak	अक
Inadvertence	अकंपन
Unhappiness	अकंपितता
Airs	अकड़
Stiffness	अकड़न
Swagger	अकड़बाज
Hawker	अकड़बाज़
Stuttering	अकड़बाज़ी
Grudge	अकड़बाजी
Hardwood	अकड़ा
Strut	अकड़ाव
Stride	अकड़ाहट
A lot	अकधक
Unacceptable	अकपट
Akbak	अकबक
Akbat	अकबत
Akbar	अकबर
Akbar the Great	अकबर महान
Akbarnama	अकबरनामा
Akbarpur	अकबरपुर
Akbarpur city	अकबरपुर शहर
Akbari	अकबरी
Akmola	अकमोला
Accident	अकम्पन
Unambiguity	अकम्पितता
Anarkara	अकरकरा
Akaran	अकरण
Accra	अकरा
Akras	अकरास
Accordion	अकर्डियन
Inaction	अकर्म
Intransitive verb	अकर्मक क्रिया
Indolent person	अकर्मण्य व्यक्ति
Idleness	अकर्मण्यता
Akarma	अकर्मा
Wisdom	अकल
Wisdom teeth	अकल दाढ़
Intelligence	अकल-सुरा
Indeterminacy	अकलंकता
Unintelligence	अकलङ्कता
Intelligent	अकलमंद
Unintelligent	अकलमन्द
Akalsura	अकलसुरा
Inattention	अकलात्मकता
Unwise	अकल्याण
Invertebrates	अकशेरुकी
Invertebrates	अकशेरुकी जंतु
Invertebrates	अकशेरुकी जन्तु
Invertebrates	अकशेरुकी प्राणी
Aksir	अकसीर
Akbar	अक़बर
Akbar the Great	अक़बर महान
Akbarnama	अक़बरनामा
Wisdom	अक़ल
Aqeeq	अक़ीक़
Aqeedat	अक़ीदत
Akidaa	अक़ीदा
Unknowingly	अक़्क़ल-बार
Aqqalbar	अक़्क़लबार
Wisdom	अक़्ल
Wisdom-brave	अक़्ल-बहादुर
Unintelligent	अक़्लमंद
Wisdom	अक़्लमंदी
Account	अकाउंट
Account holder	अकाउंट होल्डर
Accountant	अकाउंटेंट
Account	अकाउन्ट
Account holder	अकाउन्ट होल्डर
Accountant	अकाउन्टेन्ट
Akaaz	अकाज
The academy	अकादमी
Academy member	अकादमी सदस्य
Akam Karma	अकाम कर्म
Akamata	अकामता
Cause	अकार
Alphabetic letters	अकार अक्षर
Causeless	अकारज
Akardian	अकार्डियन
Non-working	अकार्य
Famine	अकाल
Premature death	अकाल मृत्यु
Akali	अकाली
Akali Dal	अकाली दल
Akali BJP	अकाली भाजपा
Akali BJP Party	अकाली भाजपा पार्टी
Akali Sikh	अकाली सिक्ख
Akali Sikh	अकाली सिख
Akali-BJP	अकाली-भाजपा
Akali-BJP alliance	अकाली-भाजपा गठजोड़
Akali-BJP alliance	अकाली-भाजपा गठबंधन
Akasanim	अकासनीम
Incompatibility	अकिंचनता
Akiq	अकीक
Akidat	अकीदत
Akida	अकीदा
Akirti	अकीर्ति
Acuteness	अकुटिलता
Akutai	अकुताई
Akulai	अकुलाई
Foolishness	अकुलाहट
Akuli	अकुली
Unskilled	अकुलीन
Fool	अकुलीन व्यक्ति
Inefficient	अकुशल
Unskilled actor	अकुशल अभिनेता
Unskilled dramatist	अकुशल नाट्यकार
Inefficiency	अकुशलता
Infallibility	अकूतता
Thankfulness	अकृतज्ञता
Indecision	अकृत्य
Artlessness	अकृत्रिमता
Acrop	अकृप
Akripa	अकृपा
Indecipherable	अकृष्य
alone	अकेला
Loneliness	अकेलापन
Academic	अकैडमिक
Enrollment	अकैडमिशन
Academy	अकैडमी
Akor	अकोर
Akori	अकोरी
Akol	अकोल
Akola	अकोला
Akola District	अकोला जिला
Akola City	अकोला शहर
Akaua	अकौआ
Akora	अकौड़ा
Akauvan	अकौवन
Akauva	अकौवा
Akkad Bakkad	अक्कड़ बक्कड़
Akkad-Bakkad	अक्कड़-बक्कड़
Akkal bar	अक्कल-बार
Akalkot	अक्कलकोट
Akkalbar	अक्कलबार
Rudeness	अक्खड़ता
Rudeness	अक्खड़पन
Rude	अक्खड़पना
October	अक्टूबर
October	अक्टोबर
October	अक्तूबर
Akmola	अक्मोला
Accra	अक्रा
Action	अक्रिया
Akrur	अक्रूर
Wisdom	अक्ल
Foolish	अक्ल-बहादुर
Intelligent	अक्लमंद
Unintelligent	अक्लमन्द
Axis	अक्ष
Axis line	अक्ष रेखा
Pickle	अक्षक
Axilla	अक्षकास्थि
Akshkumar	अक्षकुमार
Akshoot	अक्षकूट
Invertebrates	अक्षकूटक
Axis	अक्षजन
Intact	अक्षत
Axotomy	अक्षतवीर्य
Integrity	अक्षता
Akshpad	अक्षपाद
Incapacity	अक्षमता
Akshama	अक्षमा
Akshamala	अक्षमाला
Incompetent	अक्षमालिक
Disabled Upanishads	अक्षमालिक उपनिषद
Disabled Upanishads	अक्षमालिक उपनिषद्
Disabled Council	अक्षमालिकोपनिषद
Disabled Council	अक्षमालिकोपनिषद्
Akshamali	अक्षमाली
renewable	अक्षय
Akshay Teej	अक्षय तीज
Renewable	अक्षय-तीज
Third day of Akshaya	अक्षय-तृतीया
Akshay Kumar	अक्षयकुमार
Indestructibility	अक्षयता
Inexhaustible	अक्षयतीज
Third day of Akshaya	अक्षयतृतीया
Akshayavami	अक्षयनवमी
Renewable	अक्षयवट
Akshaya	अक्षया
Indestructibility	अक्षय्यता
The letter	अक्षर
Letter arithmetic	अक्षर गणित
Letter net	अक्षर जाल
Letter conversion	अक्षर परिवर्तन
Akshar Mala	अक्षर माला
Character joiner	अक्षर योजक
Letter coordinator	अक्षर संयोजक
Letter trap	अक्षर-जाल
Character adder	अक्षर-योजक
Spelling	अक्षर-विन्यास
Letter coordinator	अक्षर-संयोजक
Letter writer	अक्षरजननी
Alphabet	अक्षरजाल
Alphabetic	अक्षरजीवक
Alphabetic	अक्षरजीवी
Literacy	अक्षरता
Alphabet	अक्षरतूलिका
Syllable	अक्षरन्यास
Alphanumeric	अक्षरपंक्ति
Alphabet	अक्षरमाला
Spelling	अक्षरविन्यास
Syllable	अक्षरशत्रु
Akshari	अक्षरी
Akshrotti	अक्षरौटी
Akshwat	अक्षवाट
Axis	अक्षवाट्
Akshutras	अक्षसूत्र
Latitude	अक्षांतर
Latitude	अक्षांश
Latitude line	अक्षांश रेखा
Latitude	अक्षान्तर
Axis	अक्षि
Akshi Upanishad	अक्षि उपनिषद
Akshi Upanishad	अक्षि उपनिषद्
Axis board	अक्षि पटल
Akshit	अक्षित
Akshitara	अक्षितारा
Axilla	अक्षिपटल
Perfection	अक्षुणता
Intactness	अक्षुण्णता
